route_name,start,finish,middle,dir,bayes,min_speed,bayes_raw_speeds,multi_level,city,adjust_low
A22 - Liverpool to Glebe,"150.92106, -33.91492","151.193468, -33.88441","151.06622, -33.88612",NA,TRUE,NA,TRUE,FALSE,Sydney,FALSE
A22 - Park Terrace to Port Wakefield Rd,"138.58777, -34.89916","138.59852, -34.83740",NA,NA,FALSE,NA,FALSE,FALSE,Adelaide,FALSE
A22 - Port Wakefield Rd to Park Terrace,"138.59868, -34.83750","138.58764, -34.89886",NA,NA,FALSE,NA,FALSE,FALSE,Adelaide,FALSE
A28 - Casula to M2 Motorway,"150.878217, -33.956954","151.048804, -33.759917","151.03227, -33.78602",NA,FALSE,NA,FALSE,FALSE,Sydney,FALSE
A28 - M2 Motorway to Casula,"151.04916, -33.75917","150.87774, -33.95707","151.03281, -33.78594",NA,FALSE,NA,FALSE,FALSE,Sydney,FALSE
A3 - ANZAC Highway to SE Freeway,"138.54870, -34.96846","138.64381, -34.96341",NA,NA,TRUE,NA,TRUE,FALSE,Adelaide,FALSE
A3 - Blakehurst to Pymble,"151.111187, -33.987375","151.143902, -33.752195",NA,359,FALSE,NA,FALSE,FALSE,Sydney,FALSE
A3 - Pymble to Blakehurst,"151.14693, -33.75125","151.11133, -33.98737",NA,180,FALSE,NA,FALSE,FALSE,Sydney,FALSE
A3 - SE Freeway to ANZAC Highway,"138.64367, -34.96367","138.54851, -34.96856",NA,NA,TRUE,NA,TRUE,FALSE,Adelaide,FALSE
A34 - Liverpool to Newtown,"150.91855, -33.92815","151.17775, -33.89807","150.97906, -33.92920 | 151.03156, -33.93419 | 151.06784, -33.93040",80,TRUE,NA,TRUE,FALSE,Sydney,FALSE
A34 - Newtown to Liverpool,"151.17775, -33.89807","150.918414, -33.928393","151.08164, -33.92698 | 150.986969, -33.929377",270,TRUE,NA,TRUE,FALSE,Sydney,FALSE
A36 - Broadway to Georges River,"151.194801, -33.884709","151.115095, -34.000241",NA,180,FALSE,NA,FALSE,FALSE,Sydney,FALSE
A36 - Georges River to Broadway,"151.11491, -34.00036","151.19471, -33.88457",NA,1,FALSE,NA,FALSE,FALSE,Sydney,FALSE
A40 - Baulkham Hills to Rozelle,"150.95687, -33.76074","151.17598, -33.86779","150.97487, -33.78773 | 151.03636, -33.81154 | 151.12336, -33.82355 | 151.15518, -33.85168",NA,TRUE,NA,FALSE,FALSE,Sydney,FALSE
A40 - Rozelle to Baulkham Hills,"151.175819, -33.867739","150.95661, -33.76061","151.15835, -33.85519 | 151.13427, -33.83894 | 151.12579, -33.82514 | 151.03302, -33.81073",NA,FALSE,NA,FALSE,FALSE,Sydney,FALSE
A6 - Carlingford to Padstow,"151.05274, -33.77991","151.03583, -33.93956",NA,NA,FALSE,NA,FALSE,FALSE,Sydney,FALSE
